,precision,recall,f1-score,support,Prompt ID
Human-systematic-review,0.46601941747572817,0.8,0.588957055214724,60.0,P12
Human-RCT-drug-intervention,0.3333333333333333,0.6956521739130435,0.4507042253521127,23.0,P12
Human-RCT-non-drug-intervention,0.6,0.7105263157894737,0.6506024096385543,38.0,P12
Human-RCT-non-intervention,0.0,0.0,0.0,4.0,P12
Human-case-report,0.16147308781869688,0.991304347826087,0.27771010962241166,115.0,P12
Human-non-RCT-drug-intervention,0.65,0.3023255813953488,0.4126984126984127,129.0,P12
Human-non-RCT-non-drug-intervention,0.15192743764172337,0.42948717948717946,0.22445561139028475,156.0,P12
Animal-systematic-review,0.0,0.0,0.0,0.0,P12
Animal-drug-intervention,0.6521739130434783,0.7731958762886598,0.7075471698113207,97.0,P12
Animal-non-drug-intervention,0.22972972972972974,0.6296296296296297,0.33663366336633666,27.0,P12
Animal-other,0.449438202247191,0.38095238095238093,0.41237113402061853,105.0,P12
Non-systematic-review,0.6190476190476191,0.08099688473520249,0.14325068870523414,321.0,P12
In-vitro-study,0.6,0.2777777777777778,0.37974683544303794,54.0,P12
Clinical-study-protocol,0.2608695652173913,0.75,0.3870967741935483,8.0,P12
Remaining,0.6904761904761905,0.0675990675990676,0.12314225053078555,858.0,P12
micro avg,0.2947821409359871,0.2746867167919799,0.28437986507524654,1995.0,P12
macro avg,0.3909658997354055,0.4592964810262567,0.3396610893324921,1995.0,P12
weighted avg,0.5648282276967121,0.2746867167919799,0.24404968625354626,1995.0,P12
