"PMID","Autobiography","Bibliography","Biography","Case-Control Studies","Case Reports","Clinical Studies as Topic","Clinical Study","Cohort Studies","Comment","Congress","Consensus Development Conference","Cross-Cultural Comparison","Cross-Over Studies","Cross-Sectional Studies","Diagnostic Test Accuracy","Double-Blind Method","Editorial","Evaluation Studies as Topic","Evaluation Study","Feasibility Studies","Focus Groups","Follow-Up Studies","Genome-Wide Association Study","Historical Article","Human Experimentation","interview","Interviews as Topic","Lecture","Legal Case","Letter","Longitudinal Studies","Matched-Pair Analysis","Meta-analysis","Multicenter Study","News","Personal Narrative","Portrait","Practice Guideline","Predictive Value of Tests","Prospective Studies","Random Allocation","Randomized Controlled Trial","Reproducibility of Results","Retrospective Studies","Review","Systematic Reviews as Topic","Systematic Review","Twin Study","Validation Study"
26081580,0.0,0.0,0.0,0.00045,0.00049,0.0061,0.9537,0.00013,0.00023,0.0,0.0,0.00006,0.00007,0.00091,0.0,0.00008,0.0012,0.00017,0.00056,0.0005,0.00061,0.0148,0.00027,0.00045,0.0,0.0,0.00039,0.0,0.0,0.0004,0.0012,0.00006,0.0042,0.1538,0.00001,0.0,0.0,0.0,0.0126,0.02,0.00032,0.7832,0.00072,0.0204,0.0013,0.0,0.00002,0.00004,0.00013
25971300,0.0,0.0,0.0,0.0143,0.00016,0.0011,0.0598,0.003,0.00062,0.00001,0.00001,0.0,0.00006,0.00091,0.0,0.00008,0.0001,0.00004,0.00056,0.00016,0.00002,0.0268,0.00005,0.00026,0.0,0.0,0.00017,0.00004,0.0,0.00033,0.00057,0.00017,0.0042,0.0364,0.00001,0.0,0.0,0.0,0.0074,0.0249,0.004,0.0032,0.0074,0.0677,0.0025,0.0,0.00002,0.00004,0.00051
25978940,0.0,0.0,0.0,0.0017,0.0013,0.0022,0.0501,0.0088,0.00015,0.00019,0.00003,0.00002,0.00006,0.097,0.0,0.00016,0.00015,0.00019,0.00065,0.0005,0.00005,0.0329,0.00004,0.00026,0.0,0.0,0.00009,0.00004,0.0,0.0004,0.0039,0.00002,0.00029,0.0824,0.0,0.0,0.0,0.00004,0.004,0.0026,0.00032,0.00054,0.0027,0.0316,0.0013,0.0,0.0087,0.00004,0.00022
25867960,0.0,0.0,0.00001,0.0061,0.00033,0.0011,0.0834,0.0024,0.00059,0.00005,0.00001,0.00002,0.00006,0.00091,0.0,0.0053,0.0047,0.0021,0.0035,0.00022,0.00005,0.0048,0.0,0.00045,0.0,0.0,0.00009,0.00003,0.0,0.0018,0.001,0.00003,0.00029,0.0029,0.00001,0.0,0.0,0.0,0.0509,0.02,0.0019,0.0105,0.0821,0.0054,0.0121,0.0,0.0,0.00004,0.00077
25856530,0.0,0.0,0.0,0.0379,0.8583,0.0048,0.0385,0.0088,0.00015,0.00019,0.00002,0.00002,0.00006,0.0014,0.0,0.00024,0.0001,0.0011,0.0035,0.0015,0.00002,0.0224,0.00027,0.00056,0.0,0.0,0.00009,0.00002,0.0,0.00079,0.00077,0.00003,0.0016,0.0078,0.00001,0.0,0.0,0.0,0.00089,0.0026,0.004,0.0032,0.0033,0.0112,0.0121,0.0,0.0,0.00016,0.00054
25819700,0.0,0.0,0.0,0.00072,0.0397,0.014,0.3344,0.0088,0.00023,0.00001,0.00002,0.00078,0.00007,0.0023,0.0,0.0185,0.00021,0.00038,0.0035,0.4556,0.00005,0.0949,0.00005,0.00045,0.00002,0.0,0.0033,0.0,0.0,0.00079,0.0017,0.00003,0.00071,0.0901,0.00001,0.0,0.0,0.0,0.0152,0.0018,0.00026,0.0635,0.00099,0.0201,0.0021,0.0,0.0,0.00008,0.0013
25789160,0.0,0.0,0.0,0.0029,0.0038,0.00052,0.0097,0.00042,0.00015,0.0,0.0,0.00002,0.00002,0.9609,0.0,0.00016,0.00021,0.0,0.0035,0.00022,0.00002,0.0017,0.00027,0.001,0.0,0.0,0.0093,0.00002,0.0,0.00033,0.0016,0.0,0.00071,0.0012,0.00001,0.0,0.0,0.0,0.0028,0.00037,0.00012,0.00006,0.044,0.0054,0.407,0.00044,0.9664,0.0,0.0013
25666180,0.0,0.00002,0.00006,0.0023,0.0043,0.0315,0.0147,0.0015,0.0011,0.00005,0.00007,0.00008,0.0007,0.0383,0.0,0.0013,0.0013,0.00038,0.0046,0.0005,0.00014,0.0029,0.00049,0.0014,0.00014,0.00015,0.00055,0.00036,0.00006,0.0018,0.00095,0.00003,0.00071,0.0047,0.00024,0.00003,0.0,0.00004,0.0014,0.0026,0.00032,0.0016,0.0108,0.0112,0.8239,0.0,0.0001,0.00008,0.00022
24526470,0.0,0.0,0.0,0.0203,0.00049,0.0061,0.0531,0.0038,0.00015,0.0,0.0,0.00006,0.00026,0.0072,0.0,0.00008,0.00021,0.00017,0.00056,0.00016,0.00002,0.0018,0.0,0.00026,0.0,0.0,0.0019,0.00001,0.0,0.00033,0.0016,0.00002,0.0075,0.0149,0.00001,0.0,0.0,0.0,0.0079,0.0026,0.00032,0.0077,0.002,0.0099,0.0039,0.0,0.0,0.00016,0.00054
18405390,0.0,0.0,0.0,0.0,0.00016,0.00052,0.9814,0.00042,0.00062,0.00005,0.0,0.00002,0.0156,0.0023,0.0,0.9587,0.0022,0.00017,0.00065,0.0069,0.00006,0.0079,0.00004,0.00067,0.0,0.0,0.00009,0.0,0.0,0.00033,0.001,0.0,0.0,0.2655,0.00001,0.0,0.0,0.00003,0.0509,0.0413,0.0021,0.7939,0.002,0.0011,0.00071,0.0,0.0,0.00002,0.00006
