,precision,recall,f1-score,support,Prompt ID
Human-systematic-review,0.17973856209150327,0.9166666666666666,0.30054644808743175,60.0,P1
Human-RCT-drug-intervention,0.3902439024390244,0.6956521739130435,0.5000000000000001,23.0,P1
Human-RCT-non-drug-intervention,0.6041666666666666,0.7631578947368421,0.6744186046511628,38.0,P1
Human-RCT-non-intervention,0.0,0.0,0.0,4.0,P1
Human-case-report,0.22465208747514911,0.9826086956521739,0.36569579288025894,115.0,P1
Human-non-RCT-drug-intervention,0.5434782608695652,0.1937984496124031,0.2857142857142857,129.0,P1
Human-non-RCT-non-drug-intervention,0.11589403973509933,0.44871794871794873,0.1842105263157895,156.0,P1
Animal-systematic-review,0.0,0.0,0.0,0.0,P1
Animal-drug-intervention,0.583941605839416,0.8247422680412371,0.6837606837606838,97.0,P1
Animal-non-drug-intervention,0.225,0.3333333333333333,0.26865671641791045,27.0,P1
Animal-other,0.5,0.29523809523809524,0.3712574850299401,105.0,P1
Non-systematic-review,0.7058823529411765,0.07476635514018691,0.1352112676056338,321.0,P1
In-vitro-study,0.6666666666666666,0.2962962962962963,0.41025641025641024,54.0,P1
Clinical-study-protocol,0.05,0.5,0.09090909090909091,8.0,P1
Remaining,0.5522388059701493,0.04312354312354312,0.07999999999999999,858.0,P1
micro avg,0.25513784461152883,0.25513784461152883,0.25513784461152883,1995.0,P1
macro avg,0.3561268633796278,0.424540114698118,0.2900424874419066,1995.0,P1
weighted avg,0.50564805980368,0.25513784461152883,0.20566124530544702,1995.0,P1
Human-systematic-review,0.1062124248496994,0.8833333333333333,0.18962432915921287,60.0,P2
Human-RCT-drug-intervention,0.3541666666666667,0.7391304347826086,0.4788732394366197,23.0,P2
Human-RCT-non-drug-intervention,0.5254237288135594,0.8157894736842105,0.6391752577319588,38.0,P2
Human-RCT-non-intervention,0.0,0.0,0.0,4.0,P2
Human-case-report,0.16228070175438597,0.9652173913043478,0.27784730913642053,115.0,P2
Human-non-RCT-drug-intervention,0.5128205128205128,0.15503875968992248,0.23809523809523805,129.0,P2
Human-non-RCT-non-drug-intervention,0.18503937007874016,0.30128205128205127,0.22926829268292684,156.0,P2
Animal-systematic-review,0.0,0.0,0.0,0.0,P2
Animal-drug-intervention,0.5,0.8041237113402062,0.616600790513834,97.0,P2
Animal-non-drug-intervention,0.375,0.1111111111111111,0.17142857142857143,27.0,P2
Animal-other,0.5079365079365079,0.3047619047619048,0.38095238095238093,105.0,P2
Non-systematic-review,0.7058823529411765,0.037383177570093455,0.07100591715976332,321.0,P2
In-vitro-study,0.55,0.2037037037037037,0.2972972972972973,54.0,P2
Clinical-study-protocol,0.03571428571428571,0.5,0.06666666666666667,8.0,P2
Remaining,0.6153846153846154,0.018648018648018648,0.03619909502262443,858.0,P2
micro avg,0.21881287726358148,0.21804511278195488,0.2184283203615365,1995.0,P2
macro avg,0.3423907444640099,0.38930153808076734,0.2462022923522343,1995.0,P2
weighted avg,0.5236587629174335,0.21804511278195488,0.16039636210898076,1995.0,P2
