,precision,recall,f1-score,support,Prompt ID
Human-systematic-review,0.17704918032786884,0.9,0.2958904109589041,60.0,P10
Human-RCT-drug-intervention,0.4358974358974359,0.7391304347826086,0.5483870967741935,23.0,P10
Human-RCT-non-drug-intervention,0.6037735849056604,0.8421052631578947,0.7032967032967034,38.0,P10
Human-RCT-non-intervention,0.0,0.0,0.0,4.0,P10
Human-case-report,0.23553719008264462,0.991304347826087,0.3806343906510852,115.0,P10
Human-non-RCT-drug-intervention,0.6,0.20930232558139536,0.3103448275862069,129.0,P10
Human-non-RCT-non-drug-intervention,0.12476370510396975,0.4230769230769231,0.19270072992700726,156.0,P10
Animal-systematic-review,0.0,0.0,0.0,0.0,P10
Animal-drug-intervention,0.5869565217391305,0.8350515463917526,0.6893617021276597,97.0,P10
Animal-non-drug-intervention,0.23076923076923078,0.3333333333333333,0.27272727272727276,27.0,P10
Animal-other,0.4444444444444444,0.3047619047619048,0.3615819209039548,105.0,P10
Non-systematic-review,0.7021276595744681,0.102803738317757,0.1793478260869565,321.0,P10
In-vitro-study,0.6,0.2777777777777778,0.37974683544303794,54.0,P10
Clinical-study-protocol,0.041237113402061855,0.5,0.0761904761904762,8.0,P10
Remaining,0.5666666666666667,0.07925407925407925,0.13905930470347647,858.0,P10
micro avg,0.2768304914744233,0.27669172932330827,0.2767610930057659,1995.0,P10
macro avg,0.3566148488609054,0.4358601116174342,0.3019512998251289,1995.0,P10
weighted avg,0.5121238080522326,0.27669172932330827,0.24118173727248238,1995.0,P10
Human-systematic-review,0.5697674418604651,0.8166666666666667,0.6712328767123289,60.0,P11
Human-RCT-drug-intervention,0.35714285714285715,0.6521739130434783,0.4615384615384615,23.0,P11
Human-RCT-non-drug-intervention,0.6041666666666666,0.7631578947368421,0.6744186046511628,38.0,P11
Human-RCT-non-intervention,0.0,0.0,0.0,4.0,P11
Human-case-report,0.2074074074074074,0.9739130434782609,0.3419847328244275,115.0,P11
Human-non-RCT-drug-intervention,0.6507936507936508,0.3178294573643411,0.42708333333333337,129.0,P11
Human-non-RCT-non-drug-intervention,0.16872427983539096,0.5256410256410257,0.25545171339563866,156.0,P11
Animal-systematic-review,0.0,0.0,0.0,0.0,P11
Animal-drug-intervention,0.6486486486486487,0.7422680412371134,0.6923076923076923,97.0,P11
Animal-non-drug-intervention,0.265625,0.6296296296296297,0.37362637362637363,27.0,P11
Animal-other,0.4260869565217391,0.4666666666666667,0.4454545454545455,105.0,P11
Non-systematic-review,0.0,0.0,0.0,321.0,P11
In-vitro-study,0.5454545454545454,0.2222222222222222,0.3157894736842105,54.0,P11
Clinical-study-protocol,0.20833333333333334,0.625,0.3125,8.0,P11
Remaining,0.7396449704142012,0.1456876456876457,0.24342745861733206,858.0,P11
micro avg,0.34292160180485054,0.3047619047619048,0.3227176220806794,1995.0,P11
macro avg,0.3594530505385938,0.4587237470915929,0.34765435107636716,1995.0,P11
weighted avg,0.49125333689629025,0.3047619047619048,0.2823145876423564,1995.0,P11
