,precision,recall,f1-score,support,Prompt ID
Human-systematic-review,0.6944444444444444,0.8333333333333334,0.7575757575757577,60.0,P11_3
Human-RCT-drug-intervention,0.4666666666666667,0.6086956521739131,0.5283018867924527,23.0,P11_3
Human-RCT-non-drug-intervention,0.6341463414634146,0.6842105263157895,0.6582278481012659,38.0,P11_3
Human-RCT-non-intervention,0.0,0.0,0.0,4.0,P11_3
Human-case-report,0.32238805970149254,0.9391304347826087,0.48,115.0,P11_3
Human-non-RCT-drug-intervention,0.5978260869565217,0.4263565891472868,0.49773755656108587,129.0,P11_3
Human-non-RCT-non-drug-intervention,0.17907801418439717,0.6474358974358975,0.28055555555555556,156.0,P11_3
Animal-systematic-review,0.0,0.0,0.0,0.0,P11_3
Animal-drug-intervention,0.6936936936936937,0.7938144329896907,0.7403846153846155,97.0,P11_3
Animal-non-drug-intervention,0.3125,0.5555555555555556,0.39999999999999997,27.0,P11_3
Animal-other,0.4594594594594595,0.6476190476190476,0.5375494071146245,105.0,P11_3
Non-systematic-review,0.5890909090909091,0.5046728971962616,0.5436241610738254,321.0,P11_3
In-vitro-study,0.6086956521739131,0.25925925925925924,0.36363636363636365,54.0,P11_3
Clinical-study-protocol,0.75,0.375,0.5,8.0,P11_3
Remaining,0.7479674796747967,0.21445221445221446,0.3333333333333333,858.0,P11_3
micro avg,0.440040140491721,0.4395989974937343,0.43981945837512537,1995.0,P11_3
macro avg,0.47039712050064725,0.49930238935072396,0.4413950990085919,1995.0,P11_3
weighted avg,0.6076795986965007,0.4395989974937343,0.43558529991081285,1995.0,P11_3
