2024-06-19 18:10:44,798 - INFO - Evaluating BiomedBERT
2024-06-19 18:10:47,111 - INFO - Evaluating Scibert
2024-06-19 18:10:48,533 - INFO - Evaluating BioLinkBERT
2024-06-19 18:10:55,579 - INFO - model: BiomedBERT, true_label: 0, prediction: 0, probs: [0.9924378  0.00756226]
2024-06-19 18:10:55,580 - INFO - model: BiomedBERT, true_label: 0, prediction: 0, probs: [0.9924378  0.00756226]
2024-06-19 18:10:55,580 - INFO - model: BiomedBERT, true_label: 0, prediction: 0, probs: [0.9922977  0.00770227]
2024-06-19 18:10:55,581 - INFO - model: BiomedBERT, true_label: 0, prediction: 0, probs: [0.9922977  0.00770227]
2024-06-19 18:10:55,581 - INFO - model: BiomedBERT, true_label: 1, prediction: 1, probs: [0.03688397 0.96311605]
2024-06-19 18:10:55,581 - INFO - model: BiomedBERT, true_label: 1, prediction: 1, probs: [0.03688397 0.96311605]
2024-06-19 18:10:55,581 - INFO - model: BiomedBERT, true_label: 0, prediction: 0, probs: [0.99378777 0.00621227]
2024-06-19 18:10:55,581 - INFO - model: BiomedBERT, true_label: 0, prediction: 0, probs: [0.99378777 0.00621227]
2024-06-19 18:10:55,582 - INFO - model: BiomedBERT, true_label: 0, prediction: 0, probs: [0.995427   0.00457294]
2024-06-19 18:10:55,582 - INFO - model: BiomedBERT, true_label: 0, prediction: 0, probs: [0.995427   0.00457294]
2024-06-19 18:10:55,582 - INFO - model: BiomedBERT, true_label: 0, prediction: 0, probs: [0.9885175  0.01148244]
2024-06-19 18:10:55,582 - INFO - model: BiomedBERT, true_label: 0, prediction: 0, probs: [0.9885175  0.01148244]
2024-06-19 18:10:55,583 - INFO - model: BiomedBERT, true_label: 1, prediction: 1, probs: [0.03966263 0.96033734]
2024-06-19 18:10:55,583 - INFO - model: BiomedBERT, true_label: 1, prediction: 1, probs: [0.03966263 0.96033734]
2024-06-19 18:10:55,583 - INFO - model: BiomedBERT, true_label: 0, prediction: 0, probs: [0.99518955 0.00481039]
2024-06-19 18:10:55,583 - INFO - model: BiomedBERT, true_label: 0, prediction: 0, probs: [0.99518955 0.00481039]
2024-06-19 18:10:59,731 - INFO - model: BiomedBERT, true_label: 0, prediction: 0, probs: [0.9913031  0.00869696]
2024-06-19 18:10:59,732 - INFO - model: BiomedBERT, true_label: 0, prediction: 0, probs: [0.9913031  0.00869696]
2024-06-19 18:10:59,732 - INFO - model: BiomedBERT, true_label: 1, prediction: 1, probs: [0.04796045 0.95203954]
2024-06-19 18:10:59,732 - INFO - model: BiomedBERT, true_label: 1, prediction: 1, probs: [0.04796045 0.95203954]
2024-06-19 18:10:59,732 - INFO - model: BiomedBERT, true_label: 0, prediction: 0, probs: [0.9885156  0.01148432]
2024-06-19 18:10:59,732 - INFO - model: BiomedBERT, true_label: 0, prediction: 0, probs: [0.9885156  0.01148432]
2024-06-19 18:10:59,733 - INFO - model: BiomedBERT, true_label: 0, prediction: 0, probs: [0.9937954 0.0062046]
2024-06-19 18:10:59,733 - INFO - model: BiomedBERT, true_label: 0, prediction: 0, probs: [0.9937954 0.0062046]
